code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
78281;78930;GOUSSONVILLE;48.9195516,1.7669261;FF de handball;1;1;;;;;;;0;617;322;99;190;33;180;373;64
78281;78930;GOUSSONVILLE;48.9195516,1.7669261;FF de tennis de table;1;1;;;;;;;0;617;322;99;190;33;180;373;64
78281;78930;GOUSSONVILLE;48.9195516,1.7669261;FF de sports de contact et disciplines associées;1;;1;;;;;;0;617;322;99;190;33;180;373;64
78291;78930;GUERVILLE;48.9435844,1.7330307;FF d'athlétisme;6;6;;;6;6;;;0;2079;1018;254;560;204;541;1140;399
78291;78930;GUERVILLE;48.9435844,1.7330307;FF de tennis;118;69;46;3;35;19;15;1;0;2079;1018;254;560;204;541;1140;399
78291;78930;GUERVILLE;48.9435844,1.7330307;FF du sport automobile;1;;1;;;;;;0;2079;1018;254;560;204;541;1140;399
78291;78930;GUERVILLE;48.9435844,1.7330307;F sportive et culturelle de France;108;63;33;12;98;55;32;11;0;2079;1018;254;560;204;541;1140;399
78647;78930;VERT;48.941224,1.692156;FF de handball;5;4;1;;;;;;0;788;393;94;204;96;194;409;186
78647;78930;VERT;48.941224,1.692156;FF de tennis;18;8;7;3;8;3;3;2;0;788;393;94;204;96;194;409;186
78647;78930;VERT;48.941224,1.692156;FF des sports de billard;1;;1;;;;;;0;788;393;94;204;96;194;409;186
78404;78940;MILLEMONT;48.809105,1.74548;FF de basketball;1;1;;;;;;;0;251;122;31;68;23;66;141;44
78404;78940;MILLEMONT;48.809105,1.74548;FF de football;7;5;2;;;;;;0;251;122;31;68;23;66;141;44
78513;78940;LA QUEUE LES YVELINES;48.8065092,1.7646761;FF de tennis de table;5;5;;;;;;;0;2161;1100;238;570;292;544;1115;502
78263;78950;GAMBAIS;48.7746509,1.6726872;FF de natation;2;1;1;;1;1;;;0;2466;1245;367;685;193;733;1360;373
78263;78950;GAMBAIS;48.7746509,1.6726872;FF de taekwondo et disciplines associées;4;3;1;;2;2;;;0;2466;1245;367;685;193;733;1360;373
78263;78950;GAMBAIS;48.7746509,1.6726872;FF de danse;10;7;2;1;10;7;2;1;0;2466;1245;367;685;193;733;1360;373
78263;78950;GAMBAIS;48.7746509,1.6726872;FF de la montagne et de l'escalade;1;;1;;;;;;0;2466;1245;367;685;193;733;1360;373
78123;78955;CARRIERES SOUS POISSY;48.9427668,2.0324724;FF de hockey;1;;1;;;;;;0;15234;7403;1997;4499;908;4151;9209;1875
78123;78955;CARRIERES SOUS POISSY;48.9427668,2.0324724;FF de taekwondo et disciplines associées;9;5;4;;3;1;2;;0;15234;7403;1997;4499;908;4151;9209;1875
78123;78955;CARRIERES SOUS POISSY;48.9427668,2.0324724;FF de tennis de table;19;3;16;;2;1;1;;8;15234;7403;1997;4499;908;4151;9209;1875
78123;78955;CARRIERES SOUS POISSY;48.9427668,2.0324724;FF de vol libre;12;;12;;3;;3;;0;15234;7403;1997;4499;908;4151;9209;1875
78688;78960;VOISINS LE BRETONNEUX;48.7586686,2.0511739;FF de handball;99;74;25;;30;20;10;;0;11730;5910;1783;3259;868;3463;6609;1658
78688;78960;VOISINS LE BRETONNEUX;48.7586686,2.0511739;FF de tir;63;22;26;15;2;;1;1;0;11730;5910;1783;3259;868;3463;6609;1658
78688;78960;VOISINS LE BRETONNEUX;48.7586686,2.0511739;FF de tir à l'arc;43;19;21;3;13;4;9;;0;11730;5910;1783;3259;868;3463;6609;1658
