code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
77125;77450;CONDE STE LIBIAIRE;48.8978593,2.8332463;FF de tir;2;1;1;;;;;;0;1409;697;169;412;116;365;828;217
77125;77450;CONDE STE LIBIAIRE;48.8978593,2.8332463;FF d'aéronautique;5;1;2;1;;;;;0;1409;697;169;412;116;365;828;217
77171;77450;ESBLY;48.9021,2.81251;FF d'escrime;8;7;;1;2;2;;;0;5759;2968;725;1711;532;1507;3305;947
77171;77450;ESBLY;48.9021,2.81251;FF de la retraite sportive;1;;1;;;;;;0;5759;2968;725;1711;532;1507;3305;947
77232;77450;ISLES LES VILLENOY;48.912124,2.8290171;FF de badminton;12;5;7;;6;1;5;;0;910;462;157;262;42;326;501;82
77232;77450;ISLES LES VILLENOY;48.912124,2.8290171;FF de football;26;10;16;;;;;;0;910;462;157;262;42;326;501;82
77234;77450;JABLINES;48.9175496,2.7648157;FF de basketball;3;2;1;;;;;;0;639;305;99;184;22;203;385;51
77234;77450;JABLINES;48.9175496,2.7648157;FF de karaté et disciplines associées;4;4;;;1;1;;;0;639;305;99;184;22;203;385;51
77248;77450;LESCHES;48.9050724,2.7782053;FF de karaté et disciplines associées;4;3;1;;1;1;;;0;708;339;88;194;58;183;410;116
77248;77450;LESCHES;48.9050724,2.7782053;FF d'éducation physique et de gymnastique volontaire;10;2;5;3;10;2;5;3;0;708;339;88;194;58;183;410;116
77315;77450;MONTRY;48.885,2.82354;FF de badminton;9;4;5;;4;2;2;;0;3287;1653;443;865;345;891;1756;639
77315;77450;MONTRY;48.885,2.82354;FF de judo-jujitsu et disciplines associées;62;41;20;1;21;10;11;;0;3287;1653;443;865;345;891;1756;639
77315;77450;MONTRY;48.885,2.82354;FF de taekwondo et disciplines associées;1;1;;;1;1;;;0;3287;1653;443;865;345;891;1756;639
77474;77450;TRILBARDOU;48.9420503,2.8056507;FF de badminton;8;2;6;;1;;1;;0;639;324;102;197;25;193;397;49
77474;77450;TRILBARDOU;48.9420503,2.8056507;FF d'escrime;1;1;;;;;;;0;639;324;102;197;25;193;397;49
77474;77450;TRILBARDOU;48.9420503,2.8056507;FF de judo-jujitsu et disciplines associées;4;4;;;1;1;;;0;639;324;102;197;25;193;397;49
77474;77450;TRILBARDOU;48.9420503,2.8056507;FF de tennis de table;1;;1;;;;;;0;639;324;102;197;25;193;397;49
77474;77450;TRILBARDOU;48.9420503,2.8056507;FF de triathlon;1;;1;;;;;;0;639;324;102;197;25;193;397;49
77474;77450;TRILBARDOU;48.9420503,2.8056507;FF de motocyclisme;5;;4;1;;;;;0;639;324;102;197;25;193;397;49
77474;77450;TRILBARDOU;48.9420503,2.8056507;FF de baseball et softball;1;1;;;;;;;0;639;324;102;197;25;193;397;49
77498;77450;VIGNELY;48.9314377,2.8099769;FF d'escrime;1;;1;;;;;;0;256;127;36;78;12;75;156;25
77071;77460;CHAINTREAUX;48.1996948,2.8187982;FF de golf;2;;1;1;1;;;1;0;902;432;104;240;88;241;496;165
77071;77460;CHAINTREAUX;48.1996948,2.8187982;FF d'aéronautique;1;;1;;;;;;0;902;432;104;240;88;241;496;165
77071;77460;CHAINTREAUX;48.1996948,2.8187982;FF de karaté et disciplines associées;4;2;2;;;;;;0;902;432;104;240;88;241;496;165
77071;77460;CHAINTREAUX;48.1996948,2.8187982;FF de vol libre;3;;3;;;;;;0;902;432;104;240;88;241;496;165
77458;77460;SOUPPES SUR LOING;48.1868057,2.7426674;FF d'athlétisme;15;8;7;;7;6;1;;0;5561;2829;771;1428;630;1590;2861;1110
77458;77460;SOUPPES SUR LOING;48.1868057,2.7426674;FF de boxe;1;1;;;;;;;0;5561;2829;771;1428;630;1590;2861;1110
77458;77460;SOUPPES SUR LOING;48.1868057,2.7426674;FF de canoë-kayak;3;3;;;;;;;0;5561;2829;771;1428;630;1590;2861;1110
77458;77460;SOUPPES SUR LOING;48.1868057,2.7426674;FF de danse;6;4;2;;6;4;2;;0;5561;2829;771;1428;630;1590;2861;1110
77458;77460;SOUPPES SUR LOING;48.1868057,2.7426674;FF de roller sports;4;3;1;;4;3;1;;0;5561;2829;771;1428;630;1590;2861;1110
77049;77470;BOUTIGNY;48.9209326,2.9296609;FF de canoë-kayak;1;1;;;;;;;0;875;446;127;246;74;263;482;130
77049;77470;BOUTIGNY;48.9209326,2.9296609;FF de judo-jujitsu et disciplines associées;6;5;1;;2;2;;;0;875;446;127;246;74;263;482;130
77049;77470;BOUTIGNY;48.9209326,2.9296609;FF de golf;54;18;29;7;11;3;6;2;0;875;446;127;246;74;263;482;130
77049;77470;BOUTIGNY;48.9209326,2.9296609;FF de la montagne et de l'escalade;1;1;;;;;;;0;875;446;127;246;74;263;482;130
77199;77470;FUBLAINES;48.937499,2.936134;FF de motocyclisme;4;1;3;;;;;;0;1186;585;149;341;95;341;659;186
77199;77470;FUBLAINES;48.937499,2.936134;FF de roller sports;1;;1;;;;;;0;1186;585;149;341;95;341;659;186
77199;77470;FUBLAINES;48.937499,2.936134;FF d'éducation physique et de gymnastique volontaire;8;1;6;1;8;1;6;1;0;1186;585;149;341;95;341;659;186
77300;77470;MONTCEAUX LES MEAUX;48.9411762,2.985446;FF de tir à l'arc;2;;2;;1;;1;;0;608;296;67;170;59;148;353;107
