code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
91376;91630;MAROLLES EN HUREPOIX;48.5640037,2.2995562;FF de taekwondo et disciplines associées;13;7;4;2;4;3;;1;0;4812;2462;647;1318;497;1274;2615;923
91376;91630;MAROLLES EN HUREPOIX;48.5640037,2.2995562;FF d'aïkido, d'aïkibudo et affinitaires;4;;4;;;;;;0;4812;2462;647;1318;497;1274;2615;923
91111;91640;BRIIS SOUS FORGES;48.6255055,2.1284624;FF de rugby;28;18;10;;3;1;2;;0;3364;1740;454;933;352;933;1831;598
91111;91640;BRIIS SOUS FORGES;48.6255055,2.1284624;FF de boxe française, savate et disciplines associées;4;1;3;;2;;2;;0;3364;1740;454;933;352;933;1831;598
91111;91640;BRIIS SOUS FORGES;48.6255055,2.1284624;FF de bowling et de sports de quilles;1;;1;;;;;;0;3364;1740;454;933;352;933;1831;598
91111;91640;BRIIS SOUS FORGES;48.6255055,2.1284624;FF de la retraite sportive;44;;5;39;;;;;0;3364;1740;454;933;352;933;1831;598
91243;91640;FONTENAY LES BRIIS;48.61939,2.15475;FF d'athlétisme;9;7;2;;3;3;;;0;1882;943;275;530;138;560;1060;262
91243;91640;FONTENAY LES BRIIS;48.61939,2.15475;FF de karaté et disciplines associées;6;2;4;;1;;1;;0;1882;943;275;530;138;560;1060;262
91243;91640;FONTENAY LES BRIIS;48.61939,2.15475;FF de spéléologie;1;;1;;;;;;0;1882;943;275;530;138;560;1060;262
91243;91640;FONTENAY LES BRIIS;48.61939,2.15475;F nationale du sport en milieu rural;1;;1;;1;;1;;0;1882;943;275;530;138;560;1060;262
91243;91640;FONTENAY LES BRIIS;48.61939,2.15475;F sportive et culturelle de France;21;8;12;1;19;7;11;1;0;1882;943;275;530;138;560;1060;262
91319;91640;JANVRY;48.6479601,2.153771;FF d'athlétisme;14;10;4;;6;4;2;;0;584;306;87;169;51;155;337;93
91319;91640;JANVRY;48.6479601,2.153771;FF de badminton;1;;1;;;;;;0;584;306;87;169;51;155;337;93
91319;91640;JANVRY;48.6479601,2.153771;FF de basketball;2;1;1;;;;;;0;584;306;87;169;51;155;337;93
91319;91640;JANVRY;48.6479601,2.153771;FF de handball;13;9;4;;7;5;2;;0;584;306;87;169;51;155;337;93
91319;91640;JANVRY;48.6479601,2.153771;FF de tennis;27;15;10;2;8;4;4;;0;584;306;87;169;51;155;337;93
91319;91640;JANVRY;48.6479601,2.153771;FF de golf;8;1;6;1;3;;3;;0;584;306;87;169;51;155;337;93
91319;91640;JANVRY;48.6479601,2.153771;FF d'aéronautique;1;;;1;;;;;0;584;306;87;169;51;155;337;93
91319;91640;JANVRY;48.6479601,2.153771;FF de karaté et disciplines associées;1;1;;;;;;;0;584;306;87;169;51;155;337;93
91634;91640;VAUGRIGNEUSE;48.6026017,2.1209436;FF de tir à l'arc;3;1;1;1;;;;;0;1269;650;167;357;126;331;701;237
91634;91640;VAUGRIGNEUSE;48.6026017,2.1209436;FF de motocyclisme;11;3;8;;;;;;0;1269;650;167;357;126;331;701;237
91105;91650;BREUILLET;48.566131,2.17112;FF de football;281;165;109;7;13;6;7;;0;8319;4223;1200;2252;771;2485;4396;1437
91105;91650;BREUILLET;48.566131,2.17112;FF de judo-jujitsu et disciplines associées;93;68;25;;13;10;3;;0;8319;4223;1200;2252;771;2485;4396;1437
91105;91650;BREUILLET;48.566131,2.17112;FF de boxe française, savate et disciplines associées;2;1;1;;1;1;;;0;8319;4223;1200;2252;771;2485;4396;1437
91105;91650;BREUILLET;48.566131,2.17112;FF de planeur ultra léger motorisé;1;;1;;;;;;0;8319;4223;1200;2252;771;2485;4396;1437
91105;91650;BREUILLET;48.566131,2.17112;FF de ski nautique;1;1;;;;;;;0;8319;4223;1200;2252;771;2485;4396;1437
91105;91650;BREUILLET;48.566131,2.17112;FF de vol à voile;1;;;1;;;;;0;8319;4223;1200;2252;771;2485;4396;1437
91105;91650;BREUILLET;48.566131,2.17112;FF du sport universitaire;7;;7;;4;;4;;0;8319;4223;1200;2252;771;2485;4396;1437
91106;91650;BREUX JOUY;48.5590524,2.1548029;FF de badminton;2;;2;;1;;1;;0;1216;603;139;320;144;293;648;276
91106;91650;BREUX JOUY;48.5590524,2.1548029;FF de football;46;19;27;;;;;;0;1216;603;139;320;144;293;648;276
